name,abbreviation,nirf_rank,nirf_rank_year,rating,review_count,state,city,affiliation,founded_year,is_premier,placement_percentage,avg_package,highest_package,description
Bharati Vidyapeeth Dental College & Hospital,BVDCH,,,3.7,45,Maharashtra,Sangli,AICTE Approved,1986,FALSE,84.6,7.1,18.9,"Bharati Vidyapeeth Dental College & Hospital is a renowned institution located in Sangli, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth Institute of Management,BVIOM,,,4.5,195,Maharashtra,Kolhapur,AICTE Approved,1982,FALSE,70.3,6.0,23.3,"Bharati Vidyapeeth Institute of Management is a renowned institution located in Kolhapur, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth Institute of Management and Research,BVIOM,,,3.7,218,Delhi,New Delhi,UGC Recognized,1959,FALSE,78.8,4.7,18.8,"Bharati Vidyapeeth Institute of Management and Research is a renowned institution located in New Delhi, Delhi. It offers comprehensive higher education programs."
"Bharati Vidyapeeth Matoshri Bayabai Shripatrao Kadam Kanya Mahavidyalaya, Kadegaon",BVMBS,,,3.9,137,Maharashtra,Sangli,Private Autonomous,2007,FALSE,56.2,5.0,13.1,"Bharati Vidyapeeth Matoshri Bayabai Shripatrao Kadam Kanya Mahavidyalaya, Kadegaon is a renowned institution located in Sangli, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth?s College of Architecture,BVCOA,,,3.7,231,Maharashtra,Pune,AICTE Approved,1981,FALSE,98.1,7.2,15.8,"Bharati Vidyapeeth?s College of Architecture is a renowned institution located in Pune, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth?s Institute of Management and Entrepreneurship Development,BVIOM,,,4.1,222,Maharashtra,Pune,Central University Affiliated,1997,FALSE,95.9,7.2,16.7,"Bharati Vidyapeeth?s Institute of Management and Entrepreneurship Development is a renowned institution located in Pune, Maharashtra. It offers comprehensive higher education programs."
"Bharati Vidyapeeth`s Abhijit Kadam Institute of Management and Social Sciences, Solapur",BVAKI,,,4.3,27,Maharashtra,Solapur,Private Autonomous,1978,FALSE,91.2,4.5,13.4,"Bharati Vidyapeeth`s Abhijit Kadam Institute of Management and Social Sciences, Solapur is a renowned institution located in Solapur, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth`s College of Architecture,BVCOA,,,4.4,391,Maharashtra,Navi Mumbai,Central University Affiliated,1950,FALSE,76.3,6.4,11.6,"Bharati Vidyapeeth`s College of Architecture is a renowned institution located in Navi Mumbai, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth`s College of Engineering,BVCOE,,,3.9,305,Maharashtra,Pune,UGC Recognized,1984,FALSE,90.6,4.1,8.1,"Bharati Vidyapeeth`s College of Engineering is a renowned institution located in Pune, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth`s College of Engineering,BVCOE,,,4.6,116,Maharashtra,Kolhapur,State University Affiliated,2011,FALSE,94.3,3.6,17.0,"Bharati Vidyapeeth`s College of Engineering is a renowned institution located in Kolhapur, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth`s College of Engineering,BVCOE,,,4.3,94,Delhi,New Delhi,State University Affiliated,1982,FALSE,95.8,6.3,10.5,"Bharati Vidyapeeth`s College of Engineering is a renowned institution located in New Delhi, Delhi. It offers comprehensive higher education programs."
Bharati Vidyapeeth`s College of Engineering for Women,BVCOE,,,3.7,144,Maharashtra,Pune,UGC Recognized,1971,FALSE,71.7,5.6,27.2,"Bharati Vidyapeeth`s College of Engineering for Women is a renowned institution located in Pune, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth`s College of Fine Arts,BVCOF,,,4.6,432,Maharashtra,Pune,State University Affiliated,2000,FALSE,68.4,7.1,29.7,"Bharati Vidyapeeth`s College of Fine Arts is a renowned institution located in Pune, Maharashtra. It offers comprehensive higher education programs."
Bharati Vidyapeeth`s Institute of Management Studies & Research,BVIOM,,,4.1,429,Maharashtra,Navi Mumbai,State University Affiliated,1972,FALSE,77.7,3.7,6.1,"Bharati Vidyapeeth`s Institute of Management Studies & Research is a renowned institution located in Navi Mumbai, Maharashtra. It offers comprehensive higher education programs."
"Bharatiya Rashtriya Shikshan Sanstha`s Shankarrao Jawale Patil, Arts, Science & Commerce College, Lohara",BRSSS,,,4.4,283,Maharashtra,Lohara,AICTE Approved,1959,FALSE,63.1,3.6,17.8,"Bharatiya Rashtriya Shikshan Sanstha`s Shankarrao Jawale Patil, Arts, Science & Commerce College, Lohara is a renowned institution located in Lohara, Maharashtra. It offers comprehensive higher education programs."
Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology,BVBSP,167,2024,4.6,448,Maharashtra,Mumbai,Private Autonomous,1960,FALSE,65.8,6.1,16.1,"Bharatiya Vidya Bhavan`s Sardar Patel Institute of Technology is a renowned institution located in Mumbai, Maharashtra. It offers comprehensive higher education programs."
"Bharatiya Vidya Bhavans Hazarimal Somani College of Arts and Science Jayaramdas Patel College of Commerce and Management Studies, Chowpatty",BVBHS,,,3.5,219,Maharashtra,Mumbai,UGC Recognized,1986,FALSE,63.2,6.7,12.6,"Bharatiya Vidya Bhavans Hazarimal Somani College of Arts and Science Jayaramdas Patel College of Commerce and Management Studies, Chowpatty is a renowned institution located in Mumbai, Maharashtra. It offers comprehensive higher education programs."
"Bharti Vidyapeeth`s Dr. Patangarao Kadam Mahavidyalaya, Sangli",BVDPK,,,4.0,104,Maharashtra,Sangli,AICTE Approved,2008,FALSE,91.4,5.5,14.8,"Bharti Vidyapeeth`s Dr. Patangarao Kadam Mahavidyalaya, Sangli is a renowned institution located in Sangli, Maharashtra. It offers comprehensive higher education programs."
Bhaskara Degree College,BDC,,,3.8,333,Andhra Pradesh,Parvathipuram,State University Affiliated,1957,FALSE,69.8,7.3,20.3,"Bhaskara Degree College is a renowned institution located in Parvathipuram, Andhra Pradesh. It offers comprehensive higher education programs."
Bhaskaracharya College of Applied Sciences,BCOAS,,,4.1,258,Delhi,New Delhi,State University Affiliated,1952,FALSE,72.4,4.3,13.8,"Bhaskaracharya College of Applied Sciences is a renowned institution located in New Delhi, Delhi. It offers comprehensive higher education programs."
Bhatter College,BC,,,3.6,96,West Bengal,Paschim Medinipur,State University Affiliated,1988,FALSE,72.8,4.8,14.7,"Bhatter College is a renowned institution located in Paschim Medinipur, West Bengal. It offers comprehensive higher education programs."
Bhavan's R. A. College of Arts & Commerce,BRACO,,,4.5,435,Gujarat,Ahmedabad,AICTE Approved,1998,FALSE,73.8,4.0,15.5,"Bhavan's R. A. College of Arts & Commerce is a renowned institution located in Ahmedabad, Gujarat. It offers comprehensive higher education programs."
"Bhavans Vivekananda College of Science, Humanities and Commerce",BVCOS,,,4.9,323,Telangana,SECUNDERABAD,AICTE Approved,2010,FALSE,66.9,7.3,22.4,"Bhavans Vivekananda College of Science, Humanities and Commerce is a renowned institution located in SECUNDERABAD, Telangana. It offers comprehensive higher education programs."
Bhawabhuti Mahavidyalaya,BM,,,4.2,271,Maharashtra,Gondia,State University Affiliated,1994,FALSE,78.8,7.3,32.6,"Bhawabhuti Mahavidyalaya is a renowned institution located in Gondia, Maharashtra. It offers comprehensive higher education programs."
Bheema Institute of Technology and Science,BIOTA,,,3.7,233,Andhra Pradesh,Adoni,Central University Affiliated,1957,FALSE,90.1,6.2,15.0,"Bheema Institute of Technology and Science is a renowned institution located in Adoni, Andhra Pradesh. It offers comprehensive higher education programs."
Bheemireddy Institute of Management Science,BIOMS,,,4.9,47,Andhra Pradesh,Adoni,Central University Affiliated,1998,FALSE,75.8,5.0,13.3,"Bheemireddy Institute of Management Science is a renowned institution located in Adoni, Andhra Pradesh. It offers comprehensive higher education programs."
"Bherulal Patider Government P.G. College, Mhow",BPGPC,,,3.5,113,Madhya Pradesh,Mhow,Private Autonomous,1958,FALSE,93.5,5.3,19.7,"Bherulal Patider Government P.G. College, Mhow is a renowned institution located in Mhow, Madhya Pradesh. It offers comprehensive higher education programs."
Bhilai Institute of Technology,BIOT,,,4.5,318,Chhattisgarh,Durg,State University Affiliated,1994,FALSE,57.7,4.2,11.9,"Bhilai Institute of Technology is a renowned institution located in Durg, Chhattisgarh. It offers comprehensive higher education programs."
Bhim Rao Ambedkar College,BRAC,,,4.5,32,Delhi,North East,Private Autonomous,1985,FALSE,63.9,4.1,16.6,"Bhim Rao Ambedkar College is a renowned institution located in North East, Delhi. It offers comprehensive higher education programs."
Bhojia Dental College & Hospital,BDCH,,,3.5,333,Himachal Pradesh,Baddi,State University Affiliated,1957,FALSE,81.1,6.6,31.4,"Bhojia Dental College & Hospital is a renowned institution located in Baddi, Himachal Pradesh. It offers comprehensive higher education programs."
Bhubaneswar College of Engineering,BCOE,,,4.7,296,Odisha,Damanabhuin,Central University Affiliated,1954,FALSE,82.1,5.9,16.0,"Bhubaneswar College of Engineering is a renowned institution located in Damanabhuin, Odisha. It offers comprehensive higher education programs."
Bidhan Chandra College,BCC,,,4.1,191,West Bengal,Hooghly,UGC Recognized,1955,FALSE,74.9,4.6,7.9,"Bidhan Chandra College is a renowned institution located in Hooghly, West Bengal. It offers comprehensive higher education programs."
Bijni College,BC,,,3.6,210,Assam,Bijni,State University Affiliated,1980,FALSE,79.8,6.6,28.9,"Bijni College is a renowned institution located in Bijni, Assam. It offers comprehensive higher education programs."
Bijoy krishna Girls' College,BKGC,,,4.6,138,West Bengal,Howrah,State University Affiliated,1996,FALSE,76.8,7.4,30.7,"Bijoy krishna Girls' College is a renowned institution located in Howrah, West Bengal. It offers comprehensive higher education programs."
Bir Bikram Memorial College,BBMC,,,4.8,341,Tripura,Agartala,Central University Affiliated,1993,FALSE,65.2,4.6,12.3,"Bir Bikram Memorial College is a renowned institution located in Agartala, Tripura. It offers comprehensive higher education programs."
Birjhora Mahavidyalaya,BM,,,3.9,24,Assam,Bongaigaon,UGC Recognized,2002,FALSE,82.8,5.4,13.7,"Birjhora Mahavidyalaya is a renowned institution located in Bongaigaon, Assam. It offers comprehensive higher education programs."
Birla Global University,BGU,,,3.8,298,Odisha,Bhubaneswar,Private Autonomous,2004,FALSE,74.6,4.8,11.6,"Birla Global University is a renowned institution located in Bhubaneswar, Odisha. It offers comprehensive higher education programs."
Birla Institute of Management Technology,BIOMT,56,2024,4.6,391,nan,nan,Central University Affiliated,2006,TRUE,69.7,10.0,36.7,"Birla Institute of Management Technology is a renowned institution located in nan, nan. It offers comprehensive higher education programs."
Birla Institute of Management Technology,BIOMT,,,3.4,418,Uttar Pradesh,Greater Noida,UGC Recognized,1962,FALSE,95.5,4.8,12.3,"Birla Institute of Management Technology is a renowned institution located in Greater Noida, Uttar Pradesh. It offers comprehensive higher education programs."
Birla Institute of Technology,BIOT,,,4.2,424,Jharkhand,Ranchi,Central University Affiliated,1985,FALSE,66.4,3.7,16.3,"Birla Institute of Technology is a renowned institution located in Ranchi, Jharkhand. It offers comprehensive higher education programs."
Birla Institute of Technology,BIOT,78,2024,3.8,179,nan,nan,Central University Affiliated,1966,TRUE,70.9,8.5,41.5,"Birla Institute of Technology is a renowned institution located in nan, nan. It offers comprehensive higher education programs."
Birla Institute of Technology & Science - Pilani,BIOTS,,,4.2,89,Rajasthan,Pilani,UGC Recognized,1994,FALSE,88.5,4.8,18.0,"Birla Institute of Technology & Science - Pilani is a renowned institution located in Pilani, Rajasthan. It offers comprehensive higher education programs."
Birla Institute of Technology & Science -Pilani,BIOTS,,,3.9,443,Rajasthan,Pilani,Private Autonomous,2003,FALSE,61.8,7.2,16.4,"Birla Institute of Technology & Science -Pilani is a renowned institution located in Pilani, Rajasthan. It offers comprehensive higher education programs."
Birla Vishvakarma Mahavidyalaya,BVM,,,4.8,199,Gujarat,Vallabh Vidyanagar,State University Affiliated,1994,FALSE,97.4,3.9,7.7,"Birla Vishvakarma Mahavidyalaya is a renowned institution located in Vallabh Vidyanagar, Gujarat. It offers comprehensive higher education programs."
"Bishop Abraham Memorial College, Thuruthicaud",BAMCT,,,3.5,194,Kerala,Pathanamthitta,Central University Affiliated,1986,FALSE,66.5,7.1,12.6,"Bishop Abraham Memorial College, Thuruthicaud is a renowned institution located in Pathanamthitta, Kerala. It offers comprehensive higher education programs."
Bishop Ambrose College,BAC,,,3.5,160,Tamil Nadu,Coimbatore,State University Affiliated,2006,FALSE,98.6,5.5,27.0,"Bishop Ambrose College is a renowned institution located in Coimbatore, Tamil Nadu. It offers comprehensive higher education programs."
Bishop Appasamy College of Arts and Science,BACOA,,,4.8,377,Tamil Nadu,Coimbatore,Central University Affiliated,1997,FALSE,93.4,4.9,18.7,"Bishop Appasamy College of Arts and Science is a renowned institution located in Coimbatore, Tamil Nadu. It offers comprehensive higher education programs."
Bishop Heber College,BHC,,,4.0,292,Tamil Nadu,Tiruchirappalli,UGC Recognized,2008,FALSE,91.9,3.8,16.4,"Bishop Heber College is a renowned institution located in Tiruchirappalli, Tamil Nadu. It offers comprehensive higher education programs."
"Bishop Kurialacherry College For Women, Amalagiri P.O Kottayam",BKCFW,,,4.2,160,Kerala,Kottayam,State University Affiliated,1963,FALSE,86.5,6.5,16.9,"Bishop Kurialacherry College For Women, Amalagiri P.O Kottayam is a renowned institution located in Kottayam, Kerala. It offers comprehensive higher education programs."
"Bishop Moore College, Mavelikkara, Alappuzha",BMCMA,,,4.3,397,Kerala,Alappuzha,Private Autonomous,1970,FALSE,88.7,4.2,8.3,"Bishop Moore College, Mavelikkara, Alappuzha is a renowned institution located in Alappuzha, Kerala. It offers comprehensive higher education programs."
Bolpur College,BC,,,3.8,158,West Bengal,Bolpur,Central University Affiliated,1964,FALSE,78.0,5.6,23.7,"Bolpur College is a renowned institution located in Bolpur, West Bengal. It offers comprehensive higher education programs."
Bon Secours College for Women,BSCFW,,,4.3,130,Tamil Nadu,Thanjavur,UGC Recognized,1967,FALSE,71.6,5.6,27.5,"Bon Secours College for Women is a renowned institution located in Thanjavur, Tamil Nadu. It offers comprehensive higher education programs."
Bonam Venkata Chalamaiah Institute of Technology and Science,BVCIO,,,4.2,227,Andhra Pradesh,Bhatlapalem,State University Affiliated,2004,FALSE,91.3,3.7,16.5,"Bonam Venkata Chalamaiah Institute of Technology and Science is a renowned institution located in Bhatlapalem, Andhra Pradesh. It offers comprehensive higher education programs."
Bonam Venkata Chalamayya Engineering College,BVCEC,,,4.5,307,Andhra Pradesh,Odalarevu,AICTE Approved,1999,FALSE,64.7,3.9,18.5,"Bonam Venkata Chalamayya Engineering College is a renowned institution located in Odalarevu, Andhra Pradesh. It offers comprehensive higher education programs."
Borhat B.P.B.College,BB,,,3.6,198,Assam,BORHAT,Private Autonomous,1994,FALSE,89.5,5.0,10.5,"Borhat B.P.B.College is a renowned institution located in BORHAT, Assam. It offers comprehensive higher education programs."
Brahmdevdada Mane Institute of Technology,BMIOT,,,4.7,21,Maharashtra,Belati,State University Affiliated,1972,FALSE,65.0,6.1,13.4,"Brahmdevdada Mane Institute of Technology is a renowned institution located in Belati, Maharashtra. It offers comprehensive higher education programs."
Brainware University,BU,,,4.3,232,West Bengal,Kolkata,AICTE Approved,2003,FALSE,86.5,4.0,8.1,"Brainware University is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
Buddha Institute of Technology,BIOT,,,3.9,149,Uttar Pradesh,Gorakhpur,Private Autonomous,1976,FALSE,81.1,3.7,14.5,"Buddha Institute of Technology is a renowned institution located in Gorakhpur, Uttar Pradesh. It offers comprehensive higher education programs."
Budge Budge Institute of Technology,BBIOT,,,4.3,101,West Bengal,Kolkata,AICTE Approved,1976,FALSE,76.4,6.1,16.4,"Budge Budge Institute of Technology is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
Builders Engineering College,BEC,,,4.0,52,Tamil Nadu,Kangeyam,State University Affiliated,2007,FALSE,74.1,4.6,11.4,"Builders Engineering College is a renowned institution located in Kangeyam, Tamil Nadu. It offers comprehensive higher education programs."
Bundelkhand Institute of Engineering & Technology,BIOET,,,4.0,158,Uttar Pradesh,JHANSI,UGC Recognized,2000,FALSE,58.3,6.2,12.2,"Bundelkhand Institute of Engineering & Technology is a renowned institution located in JHANSI, Uttar Pradesh. It offers comprehensive higher education programs."
Bundelkhand University,BU,,,3.8,228,Uttar Pradesh,Jhansi,Central University Affiliated,1957,FALSE,69.7,6.3,11.9,"Bundelkhand University is a renowned institution located in Jhansi, Uttar Pradesh. It offers comprehensive higher education programs."
Bunts Sanghas S M Shetty College of Science Commerce and Management Studies,BSSMS,,,4.9,355,Maharashtra,Mumbai,AICTE Approved,1988,FALSE,92.5,4.0,8.2,"Bunts Sanghas S M Shetty College of Science Commerce and Management Studies is a renowned institution located in Mumbai, Maharashtra. It offers comprehensive higher education programs."
Burdwan Medical College and Hospital,BMCAH,,,3.5,235,West Bengal,Burdwan,AICTE Approved,1987,FALSE,83.4,7.3,18.6,"Burdwan Medical College and Hospital is a renowned institution located in Burdwan, West Bengal. It offers comprehensive higher education programs."
Burdwan Raj College,BRC,,,4.1,364,West Bengal,Burdwan,Central University Affiliated,1969,FALSE,76.0,5.3,11.0,"Burdwan Raj College is a renowned institution located in Burdwan, West Bengal. It offers comprehensive higher education programs."
"Burhani College of Commerce & Arts, Mumbai",BCOCA,,,4.0,35,Maharashtra,MUMBAI,State University Affiliated,2012,FALSE,65.7,7.3,30.3,"Burhani College of Commerce & Arts, Mumbai is a renowned institution located in MUMBAI, Maharashtra. It offers comprehensive higher education programs."
C K College of Engineering & Technology (Formerly Sri Jayaram Engineering College),CKCOE,,,3.7,260,Tamil Nadu,Cuddalore,UGC Recognized,1988,FALSE,91.9,5.2,17.2,"C K College of Engineering & Technology (Formerly Sri Jayaram Engineering College) is a renowned institution located in Cuddalore, Tamil Nadu. It offers comprehensive higher education programs."
C K Shah Vijapurwala Institute of Management,CKSVI,,,3.9,25,Gujarat,Vadodara,AICTE Approved,2002,FALSE,86.4,6.2,20.7,"C K Shah Vijapurwala Institute of Management is a renowned institution located in Vadodara, Gujarat. It offers comprehensive higher education programs."
C M R Institute of Technology,CMRIO,180,2024,3.9,269,Karnataka,Bengaluru,Central University Affiliated,1968,FALSE,91.5,6.3,31.4,"C M R Institute of Technology is a renowned institution located in Bengaluru, Karnataka. It offers comprehensive higher education programs."
C. Abdul Hakeem College of Engineering & Technology,CAHCO,,,4.1,329,Tamil Nadu,Melvisharam,State University Affiliated,1961,FALSE,59.5,6.1,21.1,"C. Abdul Hakeem College of Engineering & Technology is a renowned institution located in Melvisharam, Tamil Nadu. It offers comprehensive higher education programs."
C. G. Bhaktha Institute of Biotechnology,CGBIO,,,4.8,255,Gujarat,Tarsadi,AICTE Approved,1994,FALSE,58.9,5.3,23.1,"C. G. Bhaktha Institute of Biotechnology is a renowned institution located in Tarsadi, Gujarat. It offers comprehensive higher education programs."
C. H. M. E. Society`s Dr. Moonje Institute of Management & Computer Studies,CHMES,,,3.8,76,Maharashtra,Nashik,UGC Recognized,1996,FALSE,71.4,6.6,19.8,"C. H. M. E. Society`s Dr. Moonje Institute of Management & Computer Studies is a renowned institution located in Nashik, Maharashtra. It offers comprehensive higher education programs."
C. M. College,CMC,,,3.6,273,Bihar,Darbhanga,Private Autonomous,2002,FALSE,65.4,4.9,12.3,"C. M. College is a renowned institution located in Darbhanga, Bihar. It offers comprehensive higher education programs."
C. N. Law College,CNLC,,,4.2,363,Jharkhand,RANCHI,UGC Recognized,1990,FALSE,94.8,3.9,10.4,"C. N. Law College is a renowned institution located in RANCHI, Jharkhand. It offers comprehensive higher education programs."
C. P. A. College,CPAC,,,4.8,436,Tamil Nadu,Theni,State University Affiliated,1993,FALSE,71.6,5.9,17.1,"C. P. A. College is a renowned institution located in Theni, Tamil Nadu. It offers comprehensive higher education programs."
C. S. T. S. Government Kalasala,CSTSG,,,3.8,30,Andhra Pradesh,Jangareddigudem,State University Affiliated,1963,FALSE,93.7,6.7,19.0,"C. S. T. S. Government Kalasala is a renowned institution located in Jangareddigudem, Andhra Pradesh. It offers comprehensive higher education programs."
C. U. Shah University,CUSU,,,3.8,307,Gujarat,Wadhwan City,UGC Recognized,1951,FALSE,85.5,5.7,11.8,"C. U. Shah University is a renowned institution located in Wadhwan City, Gujarat. It offers comprehensive higher education programs."
C.A.R.E School of Architecture (New),CSOA,,,3.7,200,Tamil Nadu,TRICHY,UGC Recognized,1972,FALSE,61.0,6.6,21.8,"C.A.R.E School of Architecture (New) is a renowned institution located in TRICHY, Tamil Nadu. It offers comprehensive higher education programs."
C.Abdul Hakeem College,CHC,,,4.4,243,Tamil Nadu,Melvisharam,AICTE Approved,1965,FALSE,59.6,5.9,13.9,"C.Abdul Hakeem College is a renowned institution located in Melvisharam, Tamil Nadu. It offers comprehensive higher education programs."
C.K.B. Commerce College,CCC,,,4.7,336,Assam,Jorhat,Central University Affiliated,1985,FALSE,78.6,5.5,25.7,"C.K.B. Commerce College is a renowned institution located in Jorhat, Assam. It offers comprehensive higher education programs."
C.K.Pithawaka College of Engineering & Technology,CCOET,,,3.6,42,Gujarat,Surat,UGC Recognized,1974,FALSE,68.6,6.0,19.5,"C.K.Pithawaka College of Engineering & Technology is a renowned institution located in Surat, Gujarat. It offers comprehensive higher education programs."
C.M.P. Degree College,CDC,,,4.0,73,Uttar Pradesh,Prayagraj,UGC Recognized,1989,FALSE,94.3,4.1,17.4,"C.M.P. Degree College is a renowned institution located in Prayagraj, Uttar Pradesh. It offers comprehensive higher education programs."
C.P. Patel & F.H. Shah Commerce College,CPFSC,,,4.0,42,Gujarat,Anand,State University Affiliated,1986,FALSE,98.8,7.2,34.1,"C.P. Patel & F.H. Shah Commerce College is a renowned institution located in Anand, Gujarat. It offers comprehensive higher education programs."
"C.V. Raman Global University, Odisha",CRGUO,98,2024,3.5,29,Odisha,Bhubaneswar,UGC Recognized,1983,TRUE,60.0,13.9,21.3,"C.V. Raman Global University, Odisha is a renowned institution located in Bhubaneswar, Odisha. It offers comprehensive higher education programs."
CARE College of Engineering,CCOE,,,4.2,357,Tamil Nadu,Tiruchirappalli,State University Affiliated,1961,FALSE,59.1,6.7,10.3,"CARE College of Engineering is a renowned institution located in Tiruchirappalli, Tamil Nadu. It offers comprehensive higher education programs."
CBM College,CC,,,4.4,172,Tamil Nadu,Coimbatore,AICTE Approved,1955,FALSE,74.4,6.3,23.7,"CBM College is a renowned institution located in Coimbatore, Tamil Nadu. It offers comprehensive higher education programs."
CH.V.P.M.R. Government Degree College,CGDC,,,4.7,413,Andhra Pradesh,West Godavari,State University Affiliated,1975,FALSE,69.7,5.2,12.0,"CH.V.P.M.R. Government Degree College is a renowned institution located in West Godavari, Andhra Pradesh. It offers comprehensive higher education programs."
"CHAS College, Chas",CCC,,,4.6,406,Jharkhand,Bokaro,AICTE Approved,1956,FALSE,93.7,7.5,12.3,"CHAS College, Chas is a renowned institution located in Bokaro, Jharkhand. It offers comprehensive higher education programs."
CMR College of Engineerin,CCOE,206,2024,4.7,433,Telangana,Hyderabad,Central University Affiliated,2001,FALSE,83.7,6.7,31.8,"CMR College of Engineerin is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
CMR College of Engineering & Technology,CCOET,,,3.6,341,Telangana,Hyderabad,State University Affiliated,1984,FALSE,65.6,5.6,23.2,"CMR College of Engineering & Technology is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
CMR Engin,CE,257,2024,4.6,208,Telangana,Rangareddy,Private Autonomous,1984,FALSE,57.0,5.1,20.9,"CMR Engin is a renowned institution located in Rangareddy, Telangana. It offers comprehensive higher education programs."
CMR Engineering College,CEC,,,4.1,329,Telangana,Rangareddy,Central University Affiliated,1981,FALSE,76.4,5.2,19.2,"CMR Engineering College is a renowned institution located in Rangareddy, Telangana. It offers comprehensive higher education programs."
CMR Institute,CI,207,2024,4.0,246,Telangana,Hyderabad,Central University Affiliated,1993,FALSE,93.6,6.5,16.8,"CMR Institute is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
CMR Institute of Technology,CIOT,,,3.9,84,Telangana,Hyderabad,AICTE Approved,2005,FALSE,70.8,5.4,24.4,"CMR Institute of Technology is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
CMR Te,CT,208,2024,3.6,45,Telangana,Hyderabad,Central University Affiliated,1996,FALSE,84.5,3.7,9.5,"CMR Te is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
CMR Technical Campus,CTC,,,4.5,305,Telangana,Hyderabad,State University Affiliated,1966,FALSE,69.1,5.6,14.2,"CMR Technical Campus is a renowned institution located in Hyderabad, Telangana. It offers comprehensive higher education programs."
CMS College Kottayam,CCK,,,4.2,310,Kerala,Kottayam,Central University Affiliated,1991,FALSE,91.2,6.3,20.4,"CMS College Kottayam is a renowned institution located in Kottayam, Kerala. It offers comprehensive higher education programs."
CMS College of Science and Commerce,CCOSA,,,4.8,331,Tamil Nadu,Coimbatore,AICTE Approved,2009,FALSE,82.7,6.1,14.2,"CMS College of Science and Commerce is a renowned institution located in Coimbatore, Tamil Nadu. It offers comprehensive higher education programs."
COLLEGE OF MANAGEMENT STUDIES,COMS,,,4.5,311,Uttar Pradesh,KANPUR,UGC Recognized,2002,FALSE,66.3,4.3,10.6,"COLLEGE OF MANAGEMENT STUDIES is a renowned institution located in KANPUR, Uttar Pradesh. It offers comprehensive higher education programs."
CSMSS Chh. Shahu College of Engineering,CCSCO,,,4.8,399,Maharashtra,Aurangabad,Central University Affiliated,1961,FALSE,79.6,5.5,19.6,"CSMSS Chh. Shahu College of Engineering is a renowned institution located in Aurangabad, Maharashtra. It offers comprehensive higher education programs."
"CSSR & SRRM Degree College, Kamalapuram",CSDCK,,,4.2,440,Andhra Pradesh,Kamalapuram,Private Autonomous,1973,FALSE,64.3,6.8,12.5,"CSSR & SRRM Degree College, Kamalapuram is a renowned institution located in Kamalapuram, Andhra Pradesh. It offers comprehensive higher education programs."
CT Institute of Architecture and Planning,CIOAA,,,3.6,445,Punjab,Jalandhar,UGC Recognized,1963,FALSE,70.3,3.8,12.9,"CT Institute of Architecture and Planning is a renowned institution located in Jalandhar, Punjab. It offers comprehensive higher education programs."
"CT Institute of Engineering Management and Technology, Shahpur",CIOEM,,,3.8,262,Punjab,Jalandhar,Central University Affiliated,1997,FALSE,60.4,7.5,37.1,"CT Institute of Engineering Management and Technology, Shahpur is a renowned institution located in Jalandhar, Punjab. It offers comprehensive higher education programs."
CT Institute of Management and IT,CIOMA,,,4.0,428,Punjab,Jalandhar,Central University Affiliated,2000,FALSE,65.4,7.4,18.2,"CT Institute of Management and IT is a renowned institution located in Jalandhar, Punjab. It offers comprehensive higher education programs."
CVR College of Engineering,CCOE,170,2024,3.7,443,Telangana,Ibrahimpatan,Private Autonomous,1968,FALSE,81.6,7.4,24.1,"CVR College of Engineering is a renowned institution located in Ibrahimpatan, Telangana. It offers comprehensive higher education programs."
Calcutta Girls College,CGC,,,4.4,221,West Bengal,Kolkata,UGC Recognized,1957,FALSE,83.0,3.5,16.6,"Calcutta Girls College is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
Calcutta Institute of Engineering and Management,CIOEA,,,4.8,357,West Bengal,Kolkata,Private Autonomous,1968,FALSE,57.4,6.2,25.3,"Calcutta Institute of Engineering and Management is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
Calcutta Institute of Technology,CIOT,,,3.7,436,West Bengal,Uluberia,Private Autonomous,1980,FALSE,60.6,5.2,23.0,"Calcutta Institute of Technology is a renowned institution located in Uluberia, West Bengal. It offers comprehensive higher education programs."
Calcutta National Medical College and Hospital,CNMCA,,,3.5,78,West Bengal,Kolkata,AICTE Approved,2002,FALSE,64.8,6.7,22.2,"Calcutta National Medical College and Hospital is a renowned institution located in Kolkata, West Bengal. It offers comprehensive higher education programs."
